t,cat,level,x,y,n
tt0346369,"Alcohol, Drugs & Smoking",Mild,3,3,3
tt0346369,Frightening & Intense Scenes,Mild,2,2,2
tt6108262,Sex & Nudity,Severe,4,7,4
tt6108262,Violence & Gore,Severe,4,7,4
tt6108262,Profanity,Severe,1,1,1
tt6108262,"Alcohol, Drugs & Smoking",Moderate,2,5,2
tt6108262,Frightening & Intense Scenes,Severe,3,6,3
tt0118273,Sex & Nudity,Severe,3,6,3
tt0118273,Violence & Gore,Moderate,4,5,4
tt0118273,Profanity,Severe,3,4,3
tt0118273,"Alcohol, Drugs & Smoking",Severe,2,4,2
tt0118273,Frightening & Intense Scenes,Moderate,2,4,2
